% X,Y,solid.eXX (1),solid.eXY (1),solid.eYY (1)
-0.375,-0.375,-0.030021209,-0.003367602,0.104608528
-0.25,-0.375,-0.02472238,-0.002587972,0.094908682
-0.125,-0.375,-0.022889487,0.001133034,0.090596045
0,-0.375,-0.026018426,0.003331598,0.093736284
0.125,-0.375,-0.029769971,0.002217744,0.098844613
0.25,-0.375,-0.031331854,3.03E-04,0.101955672
0.375,-0.375,-0.031392257,-4.74E-04,0.103508195
-0.375,-0.25,-0.032114102,-0.00597859,0.106954729
-0.25,-0.25,-0.02465281,-0.006342033,0.091926833
-0.125,-0.25,-0.021830123,0.003699693,0.085633254
0,-0.25,-0.02905562,0.008247866,0.094834606
0.125,-0.25,-0.033669516,0.003729859,0.102543852
0.25,-0.25,-0.033384121,-6.42E-04,0.104110507
0.375,-0.25,-0.031794697,-0.001749118,0.103534039
-0.375,-0.125,-0.040543721,-0.003563239,0.115933308
-0.25,-0.125,-0.028323894,-0.017072569,0.088256194
-0.125,-0.125,-0.020028426,0.011411244,0.072913068
0,-0.125,-0.038230003,0.014997116,0.10175616
0.125,-0.125,-0.039406447,0.001617165,0.109786873
0.25,-0.125,-0.034659814,-0.003833682,0.106369627
0.375,-0.125,-0.031520223,-0.003739266,0.102688802
-0.375,0,-0.041482415,0.01500373,0.127625321
-0.25,0,-0.053928763,-0.054402748,0.10194748
-0.125,0,-0.032223425,0.032307858,0.05019495
0,0,-0.054327003,0.010402739,0.125482974
0.125,0,-0.037498924,-0.008057685,0.114833886
0.25,0,-0.031121983,-0.007244632,0.105274053
0.375,0,-0.02971548,-0.004527674,0.100323522
-0.375,0.125,-0.022793635,-0.007885167,0.118436963
-0.25,0.125,6.49E-04,0.104754423,0.146399798
0,0.125,-0.010637284,-0.014777703,0.137036594
0.125,0.125,-0.01924072,-0.007572697,0.106610118
0.25,0.125,-0.024778145,-0.004092267,0.101058325
0.375,0.125,-0.027636326,-0.001888219,0.097792549
-0.375,0.25,-0.0460876,0.001104748,0.122545583
-0.25,0.25,-0.048877094,0.035455499,0.100744674
-0.125,0.25,-0.014960432,-0.026130301,0.028668765
0,0.25,-0.052710732,-0.010272686,0.141092483
0.125,0.25,-0.027686371,0.00312121,0.110460903
0.25,0.25,-0.026146526,0.002491803,0.100888055
0.375,0.25,-0.027870588,0.00227555,0.097532657
-0.375,0.375,-0.032338335,0.012066628,0.106087813
-0.25,0.375,-0.022120126,0.01775697,0.092025128
-0.125,0.375,-0.01410679,-0.014051634,0.081369453
0,0.375,-0.034208437,-0.021459009,0.107432737
0.125,0.375,-0.034646947,-0.003144687,0.107304243
0.25,0.375,-0.031571559,0.003506095,0.101690242
0.375,0.375,-0.03023334,0.003666643,0.099172497
