% X,Y,u (m),v (m),solid.eXX (1),solid.eXY (1),solid.eYY (1)
-0.375,-0.375,-0.003772882,0.012618321,-0.029750447,-0.001244187,0.101005284
-0.25,-0.375,-0.007373135,0.01227298,-0.027990299,-5.94E-04,0.097809219
-0.125,-0.375,-0.010850447,0.012196682,-0.028049722,9.53E-04,0.097289162
0,-0.375,-0.014452933,0.012368246,-0.029644654,0.001250011,0.099121866
0.125,-0.375,-0.01823349,0.012533406,-0.030653795,4.37E-04,0.100541768
0.25,-0.375,-0.022074429,0.012586601,-0.030684307,-2.17E-04,0.100819336
0.375,-0.375,-0.025889436,0.012580221,-0.030345837,-3.43E-04,0.1006181
-0.375,-0.25,-0.003587559,0.025273623,-0.030455343,-0.002367198,0.10168926
-0.25,-0.25,-0.00721689,0.024398252,-0.027459885,-0.001662409,0.095936188
-0.125,-0.25,-0.010605648,0.024279852,-0.027870907,0.002897829,0.09582969
0,-0.25,-0.014313256,0.024822671,-0.031155432,0.002705596,0.100445074
0.125,-0.25,-0.018263079,0.025171043,-0.03163713,3.38E-04,0.10178951
0.25,-0.25,-0.022175908,0.02521426,-0.030929978,-7.41E-04,0.101221512
0.375,-0.25,-0.026000001,0.025148731,-0.030297847,-7.62E-04,0.100441771
-0.375,-0.125,-0.002889417,0.038162736,-0.034104376,-0.001438046,0.10535338
-0.25,-0.125,-0.006961939,0.036179086,-0.027934937,-0.006693806,0.092301626
-0.125,-0.125,-0.010137681,0.036094213,-0.028718842,0.009011726,0.093116537
0,-0.125,-0.014290402,0.0376074,-0.034647154,0.002634048,0.104803906
0.125,-0.125,-0.018452882,0.03798889,-0.031956704,-0.001150999,0.103130583
0.25,-0.125,-0.02234377,0.037875722,-0.030533434,-0.001467531,0.101230774
0.375,-0.125,-0.026122733,0.037678899,-0.030003731,-0.001038705,0.099991906
-0.375,0,-9.44E-04,0.05166838,-0.032907083,0.006519998,0.108667903
-0.25,0,-0.006194473,0.04805734,-0.050505669,-0.025977496,0.110554126
-0.125,0,-0.010138879,0.048270062,-0.050673429,0.02367856,0.114581357
0,0,-0.015133769,0.051009811,-0.03093681,-0.004662787,0.107434742
0.125,0,-0.018807038,0.050843089,-0.028910442,-0.002319147,0.102010407
0.25,0,-0.02243857,0.050486014,-0.029239494,-0.001289234,0.100455404
0.375,0,-0.026114588,0.050140057,-0.029535664,-7.14E-04,0.099400498
-0.375,0.125,-1.65E-05,0.06485555,-0.028019793,-0.004665882,0.106014768
-0.25,0.125,-0.004148834,0.067566296,-0.048544805,0.017310613,0.137641531
-0.125,0.125,-0.01137938,0.066862581,-0.047238608,-0.010594763,0.138526986
0,0.125,-0.015250127,0.064069654,-0.026015845,0.003896843,0.105207883
0.125,0.125,-0.018615194,0.063507031,-0.027778267,7.23E-04,0.101349152
0.25,0.125,-0.02215904,0.063008544,-0.028819143,2.16E-04,0.10010272
0.375,0.125,-0.02580093,0.062544697,-0.029377723,1.73E-04,0.099170179
-0.375,0.25,-0.001574478,0.078361991,-0.035373933,0.001477187,0.106710378
-0.25,0.25,-0.00598667,0.080672138,-0.029776764,0.011912794,0.092746783
-0.125,0.25,-0.00910935,0.080292253,-0.030555238,-0.013117107,0.094135636
0,0.25,-0.013538618,0.077534062,-0.035272035,-0.002466334,0.107015068
0.125,0.25,-0.0176437,0.076286713,-0.031007305,7.10E-04,0.102809219
0.25,0.25,-0.021425135,0.07554821,-0.029822618,0.001002386,0.100536649
0.375,0.25,-0.025140886,0.074954589,-0.029684082,8.40E-04,0.099443874
-0.375,0.375,-0.002183655,0.091309859,-0.030175164,0.003728257,0.101178217
-0.25,0.375,-0.005771499,0.092506503,-0.026730323,0.003331718,0.096732619
-0.125,0.375,-0.00904028,0.092216439,-0.02715066,-0.004295686,0.097079374
0,0.375,-0.012711744,0.090540812,-0.031017584,-0.004086991,0.101585405
0.125,0.375,-0.016623971,0.089074967,-0.031207522,-7.60E-04,0.101478303
0.25,0.375,-0.020486432,0.088118458,-0.030605502,7.20E-04,0.100487352
0.375,0.375,-0.024281855,0.087410693,-0.030139782,8.20E-04,0.099853524
